question,student_id_a,student_id_b,similarity
Q1,S001,S002,0.31497418244406195
Q1,S001,S003,0.38632478632478634
Q1,S001,S004,0.3083197389885807
Q1,S001,S005,0.41048593350383633
Q1,S001,S006,0.40905416329830235
Q1,S001,S007,0.2569037656903766
Q1,S001,S008,0.364715860899067
Q1,S001,S009,0.3197969543147208
Q1,S001,S010,0.34474123539232054
Q1,S002,S003,0.35016465422612514
Q1,S002,S004,0.30603448275862066
Q1,S002,S005,0.3125904486251809
Q1,S002,S006,0.3456175298804781
Q1,S002,S007,0.26857142857142857
Q1,S002,S008,0.3988505747126437
Q1,S002,S009,0.3440736478711162
Q1,S002,S010,0.36201117318435755
Q1,S003,S004,0.33537832310838445
Q1,S003,S005,0.3609129814550642
Q1,S003,S006,0.3947876447876448
Q1,S003,S007,0.2673684210526316
Q1,S003,S008,0.40064102564102566
Q1,S003,S009,0.3822562979189485
Q1,S003,S010,0.3705636743215031
Q1,S004,S005,0.2804878048780488
Q1,S004,S006,0.32007400555041626
Q1,S004,S007,0.26170212765957446
Q1,S004,S008,0.32073544433094997
Q1,S004,S009,0.3205944798301486
Q1,S004,S010,0.3282051282051282
Q1,S005,S006,0.37652645861601086
Q1,S005,S007,0.2425295343988881
Q1,S005,S008,0.34971509971509973
Q1,S005,S009,0.3176302640970735
Q1,S005,S010,0.3559685489635454
Q1,S006,S007,0.2559241706161137
Q1,S006,S008,0.3998044965786901
Q1,S006,S009,0.34271844660194173
Q1,S006,S010,0.35283018867924526
Q1,S007,S008,0.26567481402763016
Q1,S007,S009,0.29772727272727273
Q1,S007,S010,0.2814178302900107
Q1,S008,S009,0.3459051724137931
Q1,S008,S010,0.3829787234042553
Q1,S009,S010,0.35683297180043383
Q2,S001,S002,0.2698511166253102
Q2,S001,S003,0.27099236641221375
Q2,S001,S004,0.32027649769585254
Q2,S001,S005,0.28284566838783703
Q2,S001,S006,0.2529302899444787
Q2,S001,S007,0.20012787723785166
Q2,S001,S008,0.2610024449877751
Q2,S001,S009,0.2419753086419753
Q2,S001,S010,0.27315914489311166
Q2,S002,S003,0.314540059347181
Q2,S002,S004,0.3046623794212219
Q2,S002,S005,0.35086206896551725
Q2,S002,S006,0.2824858757062147
Q2,S002,S007,0.21163490471414242
Q2,S002,S008,0.31385485391140433
Q2,S002,S009,0.35246727089627394
Q2,S002,S010,0.3276327632763276
Q2,S003,S004,0.3226890756302521
Q2,S003,S005,0.3409893992932862
Q2,S003,S006,0.35221421215242016
Q2,S003,S007,0.2422293676312969
Q2,S003,S008,0.31733594515181196
Q2,S003,S009,0.2748768472906404
Q2,S003,S010,0.33271028037383177
Q2,S004,S005,0.3333333333333333
Q2,S004,S006,0.2897271268057785
Q2,S004,S007,0.23659574468085107
Q2,S004,S008,0.2987321711568938
Q2,S004,S009,0.26938449240607515
Q2,S004,S010,0.3149847094801223
Q2,S005,S006,0.31440677966101693
Q2,S005,S007,0.21372719374456994
Q2,S005,S008,0.3115161557580779
Q2,S005,S009,0.3344947735191638
Q2,S005,S010,0.35284552845528455
Q2,S006,S007,0.2429614181438999
Q2,S006,S008,0.27948003714020425
Q2,S006,S009,0.26622137404580154
Q2,S006,S010,0.30852017937219733
Q2,S007,S008,0.22645290581162325
Q2,S007,S009,0.19086294416243654
Q2,S007,S010,0.21735074626865672
Q2,S008,S009,0.28086710650329877
Q2,S008,S010,0.3183023872679045
Q2,S009,S010,0.33209990749306195
Q3,S001,S002,0.3749093546047861
Q3,S001,S003,0.3671189146049481
Q3,S001,S004,0.38263665594855306
Q3,S001,S005,0.3723536737235367
Q3,S001,S006,0.36082474226804123
Q3,S001,S007,0.24419535628502803
Q3,S001,S008,0.30261011419249595
Q3,S001,S009,0.3237735849056604
Q3,S001,S010,0.3030777256129369
Q3,S002,S003,0.43131868131868134
Q3,S002,S004,0.3651877133105802
Q3,S002,S005,0.38690074274139097
Q3,S002,S006,0.3748987854251012
Q3,S002,S007,0.26372637263726373
Q3,S002,S008,0.35233644859813085
Q3,S002,S009,0.40825285338015804
Q3,S002,S010,0.29867256637168144
Q3,S003,S004,0.3509293680297398
Q3,S003,S005,0.4004491017964072
Q3,S003,S006,0.43330179754020814
Q3,S003,S007,0.2732012513034411
Q3,S003,S008,0.3333333333333333
Q3,S003,S009,0.4069306930693069
Q3,S003,S010,0.2979616306954436
Q3,S004,S005,0.3544600938967136
Q3,S004,S006,0.32789115646258504
Q3,S004,S007,0.25606060606060604
Q3,S004,S008,0.2857142857142857
Q3,S004,S009,0.2929714683368128
Q3,S004,S010,0.3029544316474712
Q3,S005,S006,0.361846571622539
Q3,S005,S007,0.2211126961483595
Q3,S005,S008,0.2961595273264402
Q3,S005,S009,0.3277777777777778
Q3,S005,S010,0.3393847705496722
Q3,S006,S007,0.2637465051258155
Q3,S006,S008,0.3013953488372093
Q3,S006,S009,0.3483535528596187
Q3,S006,S010,0.2928611579539067
Q3,S007,S008,0.2528344671201814
Q3,S007,S009,0.25697211155378485
Q3,S007,S010,0.17036172695449242
Q3,S008,S009,0.3168516649848638
Q3,S008,S010,0.21964285714285714
Q3,S009,S010,0.2722029988465975
Q4,S001,S002,0.3831417624521073
Q4,S001,S003,0.3507767784137367
Q4,S001,S004,0.312202852614897
Q4,S001,S005,0.34673366834170855
Q4,S001,S006,0.36935483870967745
Q4,S001,S007,0.23306948109058928
Q4,S001,S008,0.3569937369519833
Q4,S001,S009,0.3249211356466877
Q4,S001,S010,0.34888304862023656
Q4,S002,S003,0.41658812441093307
Q4,S002,S004,0.33362831858407077
Q4,S002,S005,0.3652173913043478
Q4,S002,S006,0.4184981684981685
Q4,S002,S007,0.2381422924901186
Q4,S002,S008,0.43849840255591055
Q4,S002,S009,0.3418054338299737
Q4,S002,S010,0.37077033837293016
Q4,S003,S004,0.33530571992110453
Q4,S003,S005,0.36041486603284356
Q4,S003,S006,0.3659491193737769
Q4,S003,S007,0.22905027932960895
Q4,S003,S008,0.36085879438480595
Q4,S003,S009,0.31992337164750956
Q4,S003,S010,0.35108024691358025
Q4,S004,S005,0.28816326530612246
Q4,S004,S006,0.31086142322097376
Q4,S004,S007,0.2689655172413793
Q4,S004,S008,0.33765182186234816
Q4,S004,S009,0.27373271889400924
Q4,S004,S010,0.30192878338278933
Q4,S005,S006,0.33773740710156896
Q4,S005,S007,0.2431924882629108
Q4,S005,S008,0.3276595744680851
Q4,S005,S009,0.29821717990275526
Q4,S005,S010,0.34171195652173914
Q4,S006,S007,0.2470076169749728
Q4,S006,S008,0.35846030473135526
Q4,S006,S009,0.32465116279069767
Q4,S006,S010,0.36239575435936316
Q4,S007,S008,0.2306338028169014
Q4,S007,S009,0.23278688524590163
Q4,S007,S010,0.20853462157809985
Q4,S008,S009,0.3052959501557632
Q4,S008,S010,0.38165879973027644
Q4,S009,S010,0.29664723032069973
Q5,S001,S002,0.325309992706054
Q5,S001,S003,0.3400154202004626
Q5,S001,S004,0.3357487922705314
Q5,S001,S005,0.2984478935698448
Q5,S001,S006,0.28981606101390756
Q5,S001,S007,0.22984174830444612
Q5,S001,S008,0.261995430312262
Q5,S001,S009,0.27790432801822323
Q5,S001,S010,0.3053097345132743
Q5,S002,S003,0.3063063063063063
Q5,S002,S004,0.324583866837388
Q5,S002,S005,0.25
Q5,S002,S006,0.2607291185971389
Q5,S002,S007,0.2194922194922195
Q5,S002,S008,0.286321155480034
Q5,S002,S009,0.2706270627062706
Q5,S002,S010,0.31038080333854984
Q5,S003,S004,0.28469980632666236
Q5,S003,S005,0.2407152682255846
Q5,S003,S006,0.24145999064108564
Q5,S003,S007,0.23036649214659685
Q5,S003,S008,0.30454545454545456
Q5,S003,S009,0.3415977961432507
Q5,S003,S010,0.25996892801657173
Q5,S004,S005,0.35723431498079383
Q5,S004,S006,0.309463986599665
Q5,S004,S007,0.23703217334208798
Q5,S004,S008,0.27949061662198393
Q5,S004,S009,0.26058631921824105
Q5,S004,S010,0.33043478260869563
Q5,S005,S006,0.3320623916811092
Q5,S005,S007,0.2037037037037037
Q5,S005,S008,0.21809744779582366
Q5,S005,S009,0.2028130671506352
Q5,S005,S010,0.33492999263080325
Q5,S006,S007,0.1808066759388039
Q5,S006,S008,0.21435316336166194
Q5,S006,S009,0.2111888111888112
Q5,S006,S010,0.3400900900900901
Q5,S007,S008,0.22375690607734808
Q5,S007,S009,0.21415770609318996
Q5,S007,S010,0.18967280163599182
Q5,S008,S009,0.28611369990680335
Q5,S008,S010,0.246422893481717
Q5,S009,S010,0.24960588544403572
